Designator,Mid X,Mid Y,Rotation,Layer
UM10,812.529,-224.2566,180.0,top
UM11,832.849,-224.2566,180.0,top
UM12,853.0928,-224.2566,180.0,top
UM3,662.7706,-204.1398,180.0,top
UM9,792.209,-224.2566,180.0,top
W1,754.236,-99.6646,0.0,top
Y1,693.3776,4.6482,90.0,top
Y2,744.076,-13.1318,0.0,top
Y3,744.076,-28.3972,0.0,top
Y4,744.076,-43.7642,0.0,top
Y5,870.9426,-148.052,270.0,top
Y6,853.169,-170.8404,90.0,top
Y7,680.7284,-181.0004,90.0,top
Y8,877.787,-140.1318,0.0,top
ZF1,647.5122,48.9966,270.0,top
ZF2,810.0906,56.7182,270.0,top
ZF3,853.296,49.0458,90.0,top
ZL1,634.962,39.0192,0.0,top
ZRP4,764.4214,10.0312,270.0,top
